Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	20:5 2/2/2020	174
Mike	20:15 2/2/2020	157
Jim	10:2 2/6/2020	124
Lana	10:2 2/6/2020	128
TomH	10:2 2/6/2020	105
Mike	1:25 2/6/2020	146
Jim	1:25 2/6/2020	164
MSN	1:25 2/6/2020	133
TomH	1:46 2/6/2020	130
jalees	1:46 2/6/2020	139
TomH	1:46 2/6/2020	96
Tom	1:46 2/6/2020	146
jalees	1:46 2/6/2020	133
Mike	1:46 2/6/2020	129
Tom	2:38 2/6/2020	118
Jim	2:38 2/6/2020	144
Jim	2:39 2/6/2020	123
jalees	2:39 2/6/2020	125
Tom	2:39 2/6/2020	139
MSN	2:39 2/6/2020	104
Lana	17:0 3/0/2020	115
Jim	17:0 3/0/2020	151
Lana	17:1 3/0/2020	133
Jim	17:1 3/0/2020	119
Mike	17:49 3/0/2020	137
TomH	17:49 3/0/2020	108
Mike	17:49 3/0/2020	79
Jim	17:50 3/0/2020	99
Mike	17:50 3/0/2020	163
TomH	17:50 3/0/2020	111
Lana	18:13 3/0/2020	136
Mike	18:13 3/0/2020	86
Mike	18:16 3/0/2020	122
Jim	18:16 3/0/2020	92
Jim	18:16 3/0/2020	155
Lana	18:16 3/0/2020	200
Mike	18:16 3/0/2020	155
TomH	18:16 3/0/2020	133
Tom	18:16 3/0/2020	134
Mike	18:16 3/0/2020	155
Jim	18:16 3/0/2020	129
Sri	18:18 3/0/2020	135
Tom	18:19 3/0/2020	124
Sri	18:19 3/0/2020	103
Jim	18:29 3/0/2020	106
Mike	18:29 3/0/2020	120
Tom	18:31 3/0/2020	146
TomH	18:31 3/0/2020	105
sri	18:31 3/0/2020	145
Lana	18:31 3/0/2020	132
Tom	18:57 3/0/2020	125
sri	18:57 3/0/2020	89
app	18:58 3/0/2020	184
Tom	18:59 3/0/2020	134
Tom	1:18 3/1/2020	142
TomH	1:18 3/1/2020	100
Tom	1:19 3/1/2020	88
TomH	1:19 3/1/2020	126
Mike	2:18 3/1/2020	110
TomH	2:18 3/1/2020	118
Mike	2:19 3/1/2020	169
Lana	2:19 3/1/2020	120
app	2:19 3/1/2020	118
GS	2:20 3/1/2020	119
Lana	2:20 3/1/2020	124
Mike	2:20 3/1/2020	120
Mike	2:20 3/1/2020	193
Lana	2:20 3/1/2020	123
app	2:20 3/1/2020	143
Mike	2:22 3/1/2020	104
Lana	2:22 3/1/2020	127
app	2:22 3/1/2020	192
Jim	22:57 3/3/2020	153
Lana	22:57 3/3/2020	149
Tom	1:24 3/4/2020	128
app	1:24 3/4/2020	107
Tom	2:25 3/4/2020	125
Mike	2:25 3/4/2020	123
Tom	3:10 3/4/2020	96
Tom	11:28 3/4/2020	154
sri	11:28 3/4/2020	109
Mike	15:28 3/4/2020	113
Jim	15:28 3/4/2020	115
Mike	16:56 3/4/2020	208
Jim	16:56 3/4/2020	118
TomH	17:40 3/4/2020	161
Lana	17:40 3/4/2020	153
Tom	17:44 3/4/2020	159
Lana	17:44 3/4/2020	169
Jim	17:45 3/4/2020	130
Lana	17:45 3/4/2020	135
Tom	17:47 3/4/2020	156
app	17:48 3/4/2020	151
sri	17:50 3/4/2020	133
Mike	17:53 3/4/2020	118
Mike	17:54 3/4/2020	124
Mike	17:55 3/4/2020	133
Mike	20:48 3/4/2020	130
Mike	20:51 3/4/2020	107
Jim	21:48 3/4/2020	141
Mike	21:49 3/4/2020	169
Tom	21:49 3/4/2020	124
Lana	21:49 3/4/2020	108
TomH	21:49 3/4/2020	91
Mike	22:5 3/4/2020	149
Jim	22:5 3/4/2020	136
Tom	22:5 3/4/2020	157
Lana	22:5 3/4/2020	159
Jim	22:8 3/4/2020	161
app	22:8 3/4/2020	143
Jim	22:8 3/4/2020	139
app	22:8 3/4/2020	121
Tom	22:9 3/4/2020	166
TomH	22:12 3/4/2020	142
Tom	22:12 3/4/2020	104
app	22:12 3/4/2020	122
GS	22:12 3/4/2020	152
Mike	22:26 3/4/2020	111
Jim	22:26 3/4/2020	143
Tom	22:26 3/4/2020	101
Lana	22:26 3/4/2020	125
TomH	22:26 3/4/2020	147
sri	22:26 3/4/2020	115
app	22:26 3/4/2020	116
